"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20180801","수","남","10대","서울특별시","강남구","논현동","치킨","6"
"20180801","수","남","10대","서울특별시","강남구","대치동","치킨","5"
"20180801","수","남","20대","서울특별시","강남구","개포동","치킨","5"
"20180801","수","남","20대","서울특별시","강남구","대치동","치킨","5"
"20180801","수","남","20대","서울특별시","강남구","수서동","치킨","5"
"20180801","수","남","10대","서울특별시","강남구","삼성동","치킨","16"
"20180801","수","남","20대","서울특별시","강남구","일원동","치킨","5"
"20180801","수","남","20대","서울특별시","강남구","청담동","치킨","5"
"20180801","수","남","10대","서울특별시","강남구","역삼동","치킨","5"
"20180801","수","남","30대","서울특별시","강남구","개포동","치킨","16"
"20180801","수","남","30대","서울특별시","강남구","논현동","치킨","22"
"20180801","수","남","30대","서울특별시","강남구","삼성동","치킨","24"
"20180801","수","남","30대","서울특별시","강남구","압구정동","치킨","5"
"20180801","수","남","30대","서울특별시","강남구","일원동","치킨","5"
"20180801","수","남","40대","서울특별시","강남구","논현동","치킨","14"
"20180801","수","남","40대","서울특별시","강남구","도곡동","치킨","5"
"20180801","수","남","40대","서울특별시","강남구","역삼동","치킨","25"
"20180801","수","남","50대","서울특별시","강남구","일원동","치킨","5"
"20180801","수","남","50대","서울특별시","강남구","개포동","치킨","7"
"20180801","수","남","50대","서울특별시","강남구","수서동","치킨","5"
"20180801","수","남","40대","서울특별시","강남구","대치동","치킨","5"
"20180801","수","여","10대","서울특별시","강남구","개포동","치킨","5"
"20180801","수","남","50대","서울특별시","강남구","압구정동","치킨","5"
"20180801","수","여","10대","서울특별시","강남구","삼성동","치킨","8"
"20180801","수","여","10대","서울특별시","강남구","수서동","치킨","5"
"20180801","수","여","10대","서울특별시","강남구","역삼동","치킨","9"
"20180801","수","여","10대","서울특별시","강남구","일원동","치킨","5"
"20180801","수","여","20대","서울특별시","강남구","논현동","치킨","21"
"20180801","수","남","40대","서울특별시","강남구","일원동","치킨","5"
"20180801","수","여","20대","서울특별시","강남구","도곡동","치킨","5"
