"일자","요일","성별","연령","발신지_시도","발신지_구","발신지_동","통화건수"
"20180401","일","남","20대","서울특별시","강남구","논현동","6"
"20180401","일","남","20대","서울특별시","강남구","삼성동","18"
"20180401","일","남","20대","서울특별시","강남구","역삼동","15"
"20180401","일","남","20대","서울특별시","강남구","일원동","5"
"20180401","일","남","30대","서울특별시","강남구","개포동","5"
"20180401","일","남","30대","서울특별시","강남구","논현동","16"
"20180401","일","남","30대","서울특별시","강남구","대치동","5"
"20180401","일","남","30대","서울특별시","강남구","세곡동","5"
"20180401","일","남","30대","서울특별시","강남구","일원동","5"
"20180401","일","남","40대","서울특별시","강남구","개포동","5"
"20180401","일","남","40대","서울특별시","강남구","삼성동","19"
"20180401","일","남","50대","서울특별시","강남구","도곡동","5"
"20180401","일","남","30대","서울특별시","강남구","역삼동","22"
"20180401","일","남","50대","서울특별시","강남구","삼성동","8"
"20180401","일","남","50대","서울특별시","강남구","역삼동","5"
"20180401","일","남","10대","서울특별시","강남구","논현동","5"
"20180401","일","남","60대이상","서울특별시","강남구","세곡동","5"
"20180401","일","남","60대이상","서울특별시","강남구","역삼동","5"
"20180401","일","남","20대","서울특별시","강남구","세곡동","5"
"20180401","일","여","10대","서울특별시","강남구","역삼동","5"
"20180401","일","여","20대","서울특별시","강남구","개포동","5"
"20180401","일","남","10대","서울특별시","강남구","삼성동","5"
"20180401","일","남","40대","서울특별시","강남구","역삼동","14"
"20180401","일","여","20대","서울특별시","강남구","논현동","6"
"20180401","일","여","20대","서울특별시","강남구","삼성동","7"
"20180401","일","여","20대","서울특별시","강남구","압구정동","5"
"20180401","일","여","20대","서울특별시","강남구","역삼동","8"
"20180401","일","여","30대","서울특별시","강남구","논현동","6"
"20180401","일","여","30대","서울특별시","강남구","도곡동","5"
"20180401","일","여","30대","서울특별시","강남구","삼성동","9"
"20180401","일","여","30대","서울특별시","강남구","개포동","5"
"20180401","일","여","30대","서울특별시","강남구","압구정동","5"
"20180401","일","여","30대","서울특별시","강남구","역삼동","13"
"20180401","일","여","40대","서울특별시","강남구","논현동","8"
"20180401","일","여","40대","서울특별시","강남구","대치동","5"
"20180401","일","남","40대","서울특별시","강남구","수서동","5"
"20180401","일","여","40대","서울특별시","강남구","도곡동","5"
"20180401","일","남","30대","서울특별시","강남구","삼성동","20"
"20180401","일","여","40대","서울특별시","강남구","삼성동","18"
"20180401","일","여","40대","서울특별시","강남구","세곡동","5"
"20180401","일","여","40대","서울특별시","강남구","역삼동","8"
