"일자","요일","성별","연령","발신지_시도","발신지_구","발신지_동","통화건수"
"20180201","목","남","10대","서울특별시","강남구","삼성동","5"
"20180201","목","남","20대","서울특별시","강남구","역삼동","20"
"20180201","목","남","10대","서울특별시","강남구","역삼동","5"
"20180201","목","남","40대","서울특별시","강남구","논현동","8"
"20180201","목","남","50대","서울특별시","강남구","논현동","5"
"20180201","목","남","50대","서울특별시","강남구","도곡동","5"
"20180201","목","남","50대","서울특별시","강남구","세곡동","5"
"20180201","목","남","50대","서울특별시","강남구","역삼동","5"
"20180201","목","남","60대이상","서울특별시","강남구","개포동","5"
"20180201","목","남","60대이상","서울특별시","강남구","논현동","5"
"20180201","목","남","60대이상","서울특별시","강남구","도곡동","5"
"20180201","목","여","20대","서울특별시","강남구","개포동","5"
"20180201","목","남","50대","서울특별시","강남구","삼성동","5"
"20180201","목","남","40대","서울특별시","강남구","도곡동","5"
"20180201","목","여","20대","서울특별시","강남구","논현동","5"
"20180201","목","여","20대","서울특별시","강남구","압구정동","5"
"20180201","목","남","40대","서울특별시","강남구","역삼동","8"
"20180201","목","남","30대","서울특별시","강남구","삼성동","11"
"20180201","목","남","60대이상","서울특별시","강남구","역삼동","5"
"20180201","목","여","20대","서울특별시","강남구","청담동","5"
"20180201","목","남","20대","서울특별시","강남구","논현동","5"
"20180201","목","여","30대","서울특별시","강남구","논현동","8"
"20180201","목","여","20대","서울특별시","강남구","역삼동","13"
"20180201","목","여","20대","서울특별시","강남구","삼성동","11"
"20180201","목","여","30대","서울특별시","강남구","도곡동","5"
"20180201","목","남","40대","서울특별시","강남구","삼성동","10"
"20180201","목","여","30대","서울특별시","강남구","삼성동","5"
"20180201","목","여","30대","서울특별시","강남구","세곡동","5"
"20180201","목","여","30대","서울특별시","강남구","압구정동","5"
"20180201","목","여","30대","서울특별시","강남구","역삼동","12"
"20180201","목","남","10대","서울특별시","강남구","개포동","5"
"20180201","목","여","40대","서울특별시","강남구","개포동","5"
"20180201","목","여","40대","서울특별시","강남구","논현동","6"
"20180201","목","남","20대","서울특별시","강남구","삼성동","15"
"20180201","목","남","30대","서울특별시","강남구","일원동","5"
"20180201","목","여","40대","서울특별시","강남구","도곡동","5"
"20180201","목","여","40대","서울특별시","강남구","삼성동","23"
"20180201","목","여","10대","서울특별시","강남구","도곡동","5"
