"일자","요일","성별","연령","발신지_시도","발신지_구","발신지_동","통화건수"
"20180301","목","남","10대","서울특별시","강남구","도곡동","5"
"20180301","목","남","10대","서울특별시","강남구","삼성동","5"
"20180301","목","남","10대","서울특별시","강남구","세곡동","5"
"20180301","목","남","20대","서울특별시","강남구","논현동","9"
"20180301","목","남","20대","서울특별시","강남구","삼성동","16"
"20180301","목","남","30대","서울특별시","강남구","역삼동","22"
"20180301","목","남","40대","서울특별시","강남구","역삼동","11"
"20180301","목","남","50대","서울특별시","강남구","논현동","5"
"20180301","목","남","50대","서울특별시","강남구","일원동","5"
"20180301","목","남","60대이상","서울특별시","강남구","논현동","5"
"20180301","목","남","60대이상","서울특별시","강남구","도곡동","5"
"20180301","목","남","60대이상","서울특별시","강남구","삼성동","5"
"20180301","목","남","50대","서울특별시","강남구","세곡동","5"
"20180301","목","남","60대이상","서울특별시","강남구","역삼동","5"
"20180301","목","여","10대","서울특별시","강남구","논현동","5"
"20180301","목","여","10대","서울특별시","강남구","도곡동","5"
"20180301","목","남","20대","서울특별시","강남구","역삼동","13"
"20180301","목","여","20대","서울특별시","강남구","삼성동","6"
"20180301","목","남","50대","서울특별시","강남구","삼성동","8"
"20180301","목","남","30대","서울특별시","강남구","도곡동","5"
"20180301","목","남","10대","서울특별시","강남구","역삼동","5"
"20180301","목","여","20대","서울특별시","강남구","신사동","5"
"20180301","목","여","20대","서울특별시","강남구","논현동","5"
"20180301","목","남","20대","서울특별시","강남구","도곡동","5"
"20180301","목","여","20대","서울특별시","강남구","역삼동","14"
"20180301","목","여","20대","서울특별시","강남구","일원동","5"
"20180301","목","남","50대","서울특별시","강남구","역삼동","5"
"20180301","목","여","30대","서울특별시","강남구","논현동","5"
"20180301","목","남","20대","서울특별시","강남구","세곡동","5"
"20180301","목","여","30대","서울특별시","강남구","도곡동","5"
"20180301","목","남","40대","서울특별시","강남구","삼성동","20"
"20180301","목","여","30대","서울특별시","강남구","삼성동","21"
"20180301","목","남","30대","서울특별시","강남구","삼성동","9"
"20180301","목","여","30대","서울특별시","강남구","세곡동","5"
