"일자","요일","성별","연령","발신지_시도","발신지_구","발신지_동","통화건수"
"20180101","월","남","10대","서울특별시","강남구","역삼동","5"
"20180101","월","남","20대","서울특별시","강남구","논현동","12"
"20180101","월","남","20대","서울특별시","강남구","압구정동","5"
"20180101","월","남","30대","서울특별시","강남구","삼성동","13"
"20180101","월","남","30대","서울특별시","강남구","수서동","5"
"20180101","월","남","30대","서울특별시","강남구","일원동","5"
"20180101","월","남","40대","서울특별시","강남구","논현동","5"
"20180101","월","남","40대","서울특별시","강남구","삼성동","12"
"20180101","월","남","40대","서울특별시","강남구","역삼동","11"
"20180101","월","남","30대","서울특별시","강남구","역삼동","12"
"20180101","월","남","50대","서울특별시","강남구","도곡동","5"
"20180101","월","남","40대","서울특별시","강남구","세곡동","5"
"20180101","월","남","50대","서울특별시","강남구","역삼동","5"
"20180101","월","남","60대이상","서울특별시","강남구","역삼동","5"
"20180101","월","남","20대","서울특별시","강남구","역삼동","7"
"20180101","월","남","60대이상","서울특별시","강남구","일원동","5"
"20180101","월","남","10대","서울특별시","강남구","삼성동","5"
"20180101","월","여","10대","서울특별시","강남구","삼성동","5"
"20180101","월","여","10대","서울특별시","강남구","세곡동","5"
"20180101","월","여","10대","서울특별시","강남구","역삼동","5"
"20180101","월","남","50대","서울특별시","강남구","삼성동","8"
"20180101","월","여","20대","서울특별시","강남구","삼성동","8"
"20180101","월","남","60대이상","서울특별시","강남구","삼성동","5"
"20180101","월","여","20대","서울특별시","강남구","도곡동","5"
"20180101","월","남","60대이상","서울특별시","강남구","논현동","5"
"20180101","월","여","30대","서울특별시","강남구","개포동","5"
"20180101","월","남","60대이상","서울특별시","강남구","도곡동","5"
"20180101","월","여","20대","서울특별시","강남구","역삼동","7"
"20180101","월","여","10대","서울특별시","강남구","논현동","5"
"20180101","월","여","30대","서울특별시","강남구","논현동","11"
"20180101","월","여","30대","서울특별시","강남구","삼성동","16"
"20180101","월","여","30대","서울특별시","강남구","도곡동","5"
"20180101","월","여","30대","서울특별시","강남구","역삼동","9"
"20180101","월","여","30대","서울특별시","강남구","일원동","5"
"20180101","월","남","40대","서울특별시","강남구","압구정동","5"
"20180101","월","여","40대","서울특별시","강남구","논현동","7"
"20180101","월","여","40대","서울특별시","강남구","도곡동","5"
"20180101","월","여","40대","서울특별시","강남구","삼성동","31"
"20180101","월","여","40대","서울특별시","강남구","세곡동","5"
"20180101","월","여","10대","서울특별시","강남구","개포동","5"
"20180101","월","여","40대","서울특별시","강남구","역삼동","8"
"20180101","월","여","50대","서울특별시","강남구","논현동","8"
"20180101","월","남","10대","서울특별시","강남구","도곡동","5"
"20180101","월","남","20대","서울특별시","강남구","삼성동","8"
"20180101","월","여","50대","서울특별시","강남구","도곡동","5"
"20180101","월","여","50대","서울특별시","강남구","수서동","5"
"20180101","월","남","30대","서울특별시","강남구","논현동","8"
"20180101","월","여","50대","서울특별시","강남구","역삼동","5"
"20180101","월","여","60대이상","서울특별시","강남구","개포동","5"
"20180101","월","여","50대","서울특별시","강남구","삼성동","7"
"20180101","월","여","60대이상","서울특별시","강남구","논현동","5"
"20180101","월","여","60대이상","서울특별시","강남구","도곡동","5"
"20180101","월","여","60대이상","서울특별시","강남구","삼성동","5"
"20180101","월","여","60대이상","서울특별시","강남구","역삼동","5"
"20180101","월","여","20대","서울특별시","강남구","논현동","6"
"20180101","월","남","10대","서울특별시","강동구","길동","5"
"20180101","월","남","10대","서울특별시","강동구","암사동","5"
"20180101","월","남","20대","서울특별시","강동구","둔촌동","5"
"20180101","월","남","20대","서울특별시","강동구","천호동","5"
"20180101","월","남","40대","서울특별시","강동구","명일동","5"
"20180101","월","남","20대","서울특별시","강동구","길동","21"
"20180101","월","남","40대","서울특별시","강동구","성내동","5"
"20180101","월","남","20대","서울특별시","강동구","명일동","5"
"20180101","월","남","40대","서울특별시","강동구","암사동","5"
"20180101","월","남","40대","서울특별시","강동구","천호동","5"
"20180101","월","남","50대","서울특별시","강동구","길동","10"
"20180101","월","남","50대","서울특별시","강동구","성내동","5"
"20180101","월","남","60대이상","서울특별시","강동구","길동","15"
"20180101","월","남","60대이상","서울특별시","강동구","명일동","5"
"20180101","월","남","30대","서울특별시","강동구","성내동","6"
"20180101","월","남","30대","서울특별시","강동구","길동","37"
"20180101","월","여","20대","서울특별시","강동구","길동","23"
"20180101","월","남","20대","서울특별시","강동구","성내동","5"
"20180101","월","여","20대","서울특별시","강동구","명일동","5"
"20180101","월","여","20대","서울특별시","강동구","상일동","5"
"20180101","월","여","20대","서울특별시","강동구","암사동","5"
"20180101","월","남","10대","서울특별시","강동구","성내동","5"
"20180101","월","남","30대","서울특별시","강동구","명일동","5"
"20180101","월","여","20대","서울특별시","강동구","천호동","5"
"20180101","월","여","30대","서울특별시","강동구","길동","55"
"20180101","월","여","30대","서울특별시","강동구","명일동","5"
"20180101","월","여","30대","서울특별시","강동구","성내동","5"
"20180101","월","여","20대","서울특별시","강동구","성내동","6"
"20180101","월","여","40대","서울특별시","강동구","길동","59"
"20180101","월","여","40대","서울특별시","강동구","명일동","5"
"20180101","월","여","40대","서울특별시","강동구","천호동","5"
"20180101","월","여","50대","서울특별시","강동구","길동","14"
"20180101","월","남","10대","서울특별시","강동구","명일동","5"
"20180101","월","여","50대","서울특별시","강동구","성내동","5"
"20180101","월","여","50대","서울특별시","강동구","암사동","5"
"20180101","월","여","50대","서울특별시","강동구","명일동","5"
"20180101","월","여","20대","서울특별시","강동구","둔촌동","5"
"20180101","월","여","60대이상","서울특별시","강동구","길동","13"
"20180101","월","여","60대이상","서울특별시","강동구","명일동","5"
"20180101","월","남","40대","서울특별시","강동구","길동","37"
"20180101","월","여","40대","서울특별시","강동구","암사동","5"
"20180101","월","여","60대이상","서울특별시","강동구","성내동","5"
"20180101","월","남","10대","서울특별시","강북구","미아동","10"
"20180101","월","남","20대","서울특별시","강북구","미아동","33"
"20180101","월","남","20대","서울특별시","강북구","번동","14"
"20180101","월","남","20대","서울특별시","강북구","우이동","5"
"20180101","월","남","30대","서울특별시","강북구","미아동","59"
"20180101","월","남","30대","서울특별시","강북구","번동","16"
"20180101","월","남","40대","서울특별시","강북구","미아동","45"
"20180101","월","남","40대","서울특별시","강북구","번동","21"
"20180101","월","남","50대","서울특별시","강북구","미아동","14"
"20180101","월","남","50대","서울특별시","강북구","번동","16"
"20180101","월","남","60대이상","서울특별시","강북구","번동","5"
"20180101","월","남","60대이상","서울특별시","강북구","미아동","9"
"20180101","월","여","10대","서울특별시","강북구","미아동","7"
"20180101","월","여","20대","서울특별시","강북구","미아동","30"
"20180101","월","여","20대","서울특별시","강북구","번동","8"
"20180101","월","여","20대","서울특별시","강북구","우이동","5"
"20180101","월","여","30대","서울특별시","강북구","미아동","43"
"20180101","월","여","30대","서울특별시","강북구","우이동","5"
"20180101","월","여","10대","서울특별시","강북구","번동","5"
"20180101","월","여","40대","서울특별시","강북구","미아동","81"
"20180101","월","여","40대","서울특별시","강북구","번동","23"
"20180101","월","남","30대","서울특별시","강북구","우이동","5"
"20180101","월","여","50대","서울특별시","강북구","번동","9"
"20180101","월","여","30대","서울특별시","강북구","번동","18"
"20180101","월","여","50대","서울특별시","강북구","미아동","30"
"20180101","월","여","50대","서울특별시","강북구","우이동","5"
"20180101","월","여","60대이상","서울특별시","강북구","미아동","13"
"20180101","월","여","60대이상","서울특별시","강북구","번동","5"
"20180101","월","남","10대","서울특별시","강서구","등촌동","5"
"20180101","월","남","10대","서울특별시","강서구","화곡동","5"
"20180101","월","남","20대","서울특별시","강서구","화곡동","16"
"20180101","월","남","20대","서울특별시","강서구","등촌동","5"
"20180101","월","남","30대","서울특별시","강서구","가양동","27"
"20180101","월","남","30대","서울특별시","강서구","방화동","5"
"20180101","월","남","30대","서울특별시","강서구","외발산동","5"
"20180101","월","남","40대","서울특별시","강서구","화곡동","17"
"20180101","월","남","50대","서울특별시","강서구","내발산동","12"
"20180101","월","남","50대","서울특별시","강서구","방화동","5"
"20180101","월","남","10대","서울특별시","강서구","방화동","5"
"20180101","월","남","60대이상","서울특별시","강서구","가양동","5"
"20180101","월","여","10대","서울특별시","강서구","가양동","5"
"20180101","월","남","40대","서울특별시","강서구","마곡동","5"
"20180101","월","여","20대","서울특별시","강서구","가양동","15"
"20180101","월","여","20대","서울특별시","강서구","내발산동","12"
"20180101","월","여","20대","서울특별시","강서구","등촌동","6"
"20180101","월","여","20대","서울특별시","강서구","마곡동","5"
"20180101","월","남","20대","서울특별시","강서구","마곡동","5"
"20180101","월","여","20대","서울특별시","강서구","외발산동","5"
"20180101","월","여","20대","서울특별시","강서구","화곡동","12"
