"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20181001","월","여","20대","서울특별시","강남구","세곡동","중국집","5"
"20181001","월","남","30대","서울특별시","강남구","논현동","중국집","51"
"20181001","월","남","30대","서울특별시","강남구","개포동","중국집","5"
"20181001","월","남","40대","서울특별시","강남구","역삼동","중국집","56"
"20181001","월","여","20대","서울특별시","강남구","역삼동","중국집","20"
"20181001","월","여","50대","서울특별시","강남구","삼성동","중국집","33"
"20181001","월","여","40대","서울특별시","강남구","도곡동","중국집","9"
"20181001","월","여","60대이상","서울특별시","강남구","개포동","중국집","5"
"20181001","월","여","30대","서울특별시","강남구","도곡동","중국집","5"
"20181001","월","여","30대","서울특별시","강남구","일원동","중국집","5"
"20181001","월","남","60대이상","서울특별시","강남구","역삼동","중국집","18"
"20181001","월","남","60대이상","서울특별시","강남구","대치동","중국집","5"
"20181001","월","여","50대","서울특별시","강남구","개포동","중국집","5"
"20181001","월","남","50대","서울특별시","강남구","논현동","중국집","25"
"20181001","월","남","10대","서울특별시","강남구","삼성동","중국집","7"
"20181001","월","여","40대","서울특별시","강남구","일원동","중국집","5"
"20181001","월","여","40대","서울특별시","강남구","역삼동","중국집","29"
"20181001","월","남","30대","서울특별시","강남구","역삼동","중국집","74"
"20181001","월","남","30대","서울특별시","강남구","대치동","중국집","5"
"20181001","월","여","60대이상","서울특별시","강남구","신사동","중국집","5"
"20181001","월","여","10대","서울특별시","강남구","역삼동","중국집","5"
"20181001","월","남","10대","서울특별시","강남구","대치동","중국집","5"
"20181001","월","여","60대이상","서울특별시","강남구","세곡동","중국집","5"
"20181001","월","여","60대이상","서울특별시","강남구","삼성동","중국집","15"
"20181001","월","여","60대이상","서울특별시","강남구","도곡동","중국집","5"
"20181001","월","남","20대","서울특별시","강남구","도곡동","중국집","5"
"20181001","월","남","20대","서울특별시","강남구","삼성동","중국집","32"
"20181001","월","남","20대","서울특별시","강남구","세곡동","중국집","5"
"20181001","월","남","20대","서울특별시","강남구","역삼동","중국집","20"
"20181001","월","여","50대","서울특별시","강남구","세곡동","중국집","5"
"20181001","월","여","40대","서울특별시","강남구","세곡동","중국집","9"
"20181001","월","남","50대","서울특별시","강남구","개포동","중국집","5"
"20181001","월","남","60대이상","서울특별시","강남구","개포동","중국집","5"
"20181001","월","남","60대이상","서울특별시","강남구","논현동","중국집","12"
"20181001","월","여","50대","서울특별시","강남구","역삼동","중국집","14"
"20181001","월","남","50대","서울특별시","강남구","역삼동","중국집","26"
"20181001","월","남","50대","서울특별시","강남구","수서동","중국집","5"
"20181001","월","남","50대","서울특별시","강남구","세곡동","중국집","5"
"20181001","월","남","50대","서울특별시","강남구","삼성동","중국집","33"
"20181001","월","여","10대","서울특별시","강남구","삼성동","중국집","10"
"20181001","월","여","10대","서울특별시","강남구","세곡동","중국집","5"
"20181001","월","남","60대이상","서울특별시","강남구","일원동","중국집","5"
"20181001","월","여","20대","서울특별시","강남구","논현동","중국집","32"
"20181001","월","남","10대","서울특별시","강남구","역삼동","중국집","6"
"20181001","월","남","60대이상","서울특별시","강남구","세곡동","중국집","6"
"20181001","월","남","60대이상","서울특별시","강남구","삼성동","중국집","23"
"20181001","월","남","60대이상","서울특별시","강남구","도곡동","중국집","5"
"20181001","월","남","10대","서울특별시","강남구","논현동","중국집","5"
"20181001","월","여","30대","서울특별시","강남구","세곡동","중국집","6"
"20181001","월","여","30대","서울특별시","강남구","삼성동","중국집","46"
"20181001","월","여","30대","서울특별시","강남구","논현동","중국집","34"
"20181001","월","여","60대이상","서울특별시","강남구","역삼동","중국집","15"
"20181001","월","여","30대","서울특별시","강남구","개포동","중국집","5"
"20181001","월","여","60대이상","서울특별시","강남구","수서동","중국집","5"
"20181001","월","여","60대이상","서울특별시","강남구","논현동","중국집","10"
"20181001","월","남","40대","서울특별시","강남구","개포동","중국집","5"
"20181001","월","남","40대","서울특별시","강남구","논현동","중국집","40"
"20181001","월","남","40대","서울특별시","강남구","도곡동","중국집","5"
"20181001","월","남","40대","서울특별시","강남구","삼성동","중국집","49"
"20181001","월","남","40대","서울특별시","강남구","세곡동","중국집","8"
"20181001","월","남","10대","서울특별시","강남구","개포동","중국집","5"
"20181001","월","남","30대","서울특별시","강남구","수서동","중국집","5"
"20181001","월","남","30대","서울특별시","강남구","세곡동","중국집","9"
"20181001","월","남","30대","서울특별시","강남구","삼성동","중국집","57"
"20181001","월","남","30대","서울특별시","강남구","도곡동","중국집","5"
"20181001","월","여","40대","서울특별시","강남구","개포동","중국집","9"
"20181001","월","여","40대","서울특별시","강남구","논현동","중국집","26"
"20181001","월","여","40대","서울특별시","강남구","삼성동","중국집","75"
"20181001","월","남","20대","서울특별시","강남구","개포동","중국집","5"
"20181001","월","남","20대","서울특별시","강남구","논현동","중국집","18"
"20181001","월","여","30대","서울특별시","강남구","역삼동","중국집","45"
"20181001","월","여","30대","서울특별시","강남구","압구정동","중국집","5"
"20181001","월","여","20대","서울특별시","강남구","삼성동","중국집","15"
"20181001","월","여","20대","서울특별시","강남구","도곡동","중국집","5"
"20181001","월","여","50대","서울특별시","강남구","논현동","중국집","17"
"20181001","월","여","50대","서울특별시","강남구","도곡동","중국집","5"
"20181001","월","여","50대","서울특별시","강남구","수서동","중국집","5"
"20181001","월","남","60대이상","서울특별시","강동구","성내동","중국집","16"
"20181001","월","여","30대","서울특별시","강동구","천호동","중국집","5"
"20181001","월","여","30대","서울특별시","강동구","성내동","중국집","15"
"20181001","월","여","30대","서울특별시","강동구","상일동","중국집","10"
"20181001","월","남","60대이상","서울특별시","강동구","상일동","중국집","8"
"20181001","월","남","60대이상","서울특별시","강동구","둔촌동","중국집","5"
"20181001","월","남","10대","서울특별시","강동구","상일동","중국집","6"
"20181001","월","남","20대","서울특별시","강동구","성내동","중국집","24"
"20181001","월","남","20대","서울특별시","강동구","천호동","중국집","5"
"20181001","월","여","10대","서울특별시","강동구","성내동","중국집","5"
"20181001","월","여","50대","서울특별시","강동구","상일동","중국집","6"
"20181001","월","여","20대","서울특별시","강동구","길동","중국집","5"
"20181001","월","여","20대","서울특별시","강동구","상일동","중국집","6"
"20181001","월","여","40대","서울특별시","강동구","천호동","중국집","5"
"20181001","월","여","40대","서울특별시","강동구","암사동","중국집","5"
"20181001","월","남","10대","서울특별시","강동구","성내동","중국집","5"
"20181001","월","남","30대","서울특별시","강동구","길동","중국집","5"
"20181001","월","남","30대","서울특별시","강동구","천호동","중국집","5"
"20181001","월","남","40대","서울특별시","강동구","암사동","중국집","5"
"20181001","월","남","40대","서울특별시","강동구","상일동","중국집","17"
"20181001","월","남","60대이상","서울특별시","강동구","천호동","중국집","5"
"20181001","월","남","20대","서울특별시","강동구","상일동","중국집","11"
"20181001","월","남","30대","서울특별시","강동구","성내동","중국집","39"
"20181001","월","남","30대","서울특별시","강동구","상일동","중국집","14"
"20181001","월","남","50대","서울특별시","강동구","성내동","중국집","32"
"20181001","월","남","50대","서울특별시","강동구","상일동","중국집","11"
"20181001","월","여","60대이상","서울특별시","강동구","성내동","중국집","21"
"20181001","월","여","60대이상","서울특별시","강동구","상일동","중국집","12"
"20181001","월","남","40대","서울특별시","강동구","성내동","중국집","57"
"20181001","월","남","40대","서울특별시","강동구","길동","중국집","5"
"20181001","월","여","20대","서울특별시","강동구","성내동","중국집","17"
"20181001","월","여","40대","서울특별시","강동구","상일동","중국집","22"
"20181001","월","여","40대","서울특별시","강동구","성내동","중국집","39"
"20181001","월","여","50대","서울특별시","강동구","성내동","중국집","39"
"20181001","월","남","20대","서울특별시","강북구","번동","중국집","7"
"20181001","월","여","60대이상","서울특별시","강북구","미아동","중국집","28"
"20181001","월","여","60대이상","서울특별시","강북구","번동","중국집","5"
"20181001","월","여","50대","서울특별시","강북구","번동","중국집","13"
"20181001","월","여","50대","서울특별시","강북구","미아동","중국집","29"
"20181001","월","남","10대","서울특별시","강북구","번동","중국집","5"
"20181001","월","남","30대","서울특별시","강북구","미아동","중국집","35"
"20181001","월","남","60대이상","서울특별시","강북구","미아동","중국집","26"
"20181001","월","여","20대","서울특별시","강북구","번동","중국집","5"
"20181001","월","여","30대","서울특별시","강북구","미아동","중국집","23"
"20181001","월","여","20대","서울특별시","강북구","미아동","중국집","15"
"20181001","월","여","30대","서울특별시","강북구","번동","중국집","11"
"20181001","월","남","40대","서울특별시","강북구","번동","중국집","14"
"20181001","월","남","50대","서울특별시","강북구","미아동","중국집","50"
"20181001","월","남","50대","서울특별시","강북구","번동","중국집","8"
"20181001","월","남","40대","서울특별시","강북구","미아동","중국집","47"
"20181001","월","남","60대이상","서울특별시","강북구","번동","중국집","14"
"20181001","월","남","30대","서울특별시","강북구","번동","중국집","10"
"20181001","월","남","20대","서울특별시","강북구","미아동","중국집","35"
"20181001","월","남","10대","서울특별시","강북구","미아동","중국집","8"
"20181001","월","여","40대","서울특별시","강북구","미아동","중국집","39"
"20181001","월","여","40대","서울특별시","강북구","번동","중국집","10"
"20181001","월","여","10대","서울특별시","강북구","번동","중국집","5"
"20181001","월","여","20대","서울특별시","강서구","가양동","중국집","8"
"20181001","월","여","20대","서울특별시","강서구","내발산동","중국집","6"
