"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20180401","일","남","20대","서울특별시","강남구","논현동","중국집","19"
"20180401","일","남","20대","서울특별시","강남구","도곡동","중국집","5"
"20180401","일","남","30대","서울특별시","강남구","개포동","중국집","5"
"20180401","일","남","30대","서울특별시","강남구","세곡동","중국집","15"
"20180401","일","남","30대","서울특별시","강남구","수서동","중국집","6"
"20180401","일","남","40대","서울특별시","강남구","세곡동","중국집","11"
"20180401","일","남","40대","서울특별시","강남구","수서동","중국집","5"
"20180401","일","남","40대","서울특별시","강남구","역삼동","중국집","58"
"20180401","일","남","50대","서울특별시","강남구","대치동","중국집","5"
"20180401","일","남","50대","서울특별시","강남구","수서동","중국집","5"
"20180401","일","남","50대","서울특별시","강남구","역삼동","중국집","26"
"20180401","일","남","10대","서울특별시","강남구","개포동","중국집","5"
"20180401","일","남","10대","서울특별시","강남구","논현동","중국집","5"
"20180401","일","남","60대이상","서울특별시","강남구","개포동","중국집","5"
"20180401","일","남","60대이상","서울특별시","강남구","논현동","중국집","9"
"20180401","일","남","60대이상","서울특별시","강남구","대치동","중국집","5"
"20180401","일","남","50대","서울특별시","강남구","삼성동","중국집","48"
"20180401","일","남","60대이상","서울특별시","강남구","삼성동","중국집","31"
"20180401","일","남","60대이상","서울특별시","강남구","세곡동","중국집","5"
"20180401","일","남","30대","서울특별시","강남구","도곡동","중국집","9"
"20180401","일","남","60대이상","서울특별시","강남구","일원동","중국집","5"
"20180401","일","남","20대","서울특별시","강남구","세곡동","중국집","5"
"20180401","일","남","60대이상","서울특별시","강남구","역삼동","중국집","8"
"20180401","일","남","50대","서울특별시","강남구","개포동","중국집","6"
"20180401","일","여","10대","서울특별시","강남구","논현동","중국집","5"
"20180401","일","여","10대","서울특별시","강남구","도곡동","중국집","5"
"20180401","일","남","30대","서울특별시","강남구","역삼동","중국집","68"
"20180401","일","여","10대","서울특별시","강남구","삼성동","중국집","5"
"20180401","일","여","10대","서울특별시","강남구","세곡동","중국집","5"
"20180401","일","남","50대","서울특별시","강남구","압구정동","중국집","5"
"20180401","일","여","10대","서울특별시","강남구","역삼동","중국집","6"
"20180401","일","여","20대","서울특별시","강남구","개포동","중국집","5"
"20180401","일","여","20대","서울특별시","강남구","논현동","중국집","22"
"20180401","일","여","20대","서울특별시","강남구","삼성동","중국집","24"
"20180401","일","남","40대","서울특별시","강남구","압구정동","중국집","5"
"20180401","일","여","20대","서울특별시","강남구","역삼동","중국집","11"
"20180401","일","여","30대","서울특별시","강남구","대치동","중국집","5"
"20180401","일","여","30대","서울특별시","강남구","도곡동","중국집","5"
"20180401","일","여","30대","서울특별시","강남구","삼성동","중국집","40"
"20180401","일","남","20대","서울특별시","강남구","역삼동","중국집","33"
"20180401","일","여","30대","서울특별시","강남구","개포동","중국집","9"
"20180401","일","여","30대","서울특별시","강남구","수서동","중국집","5"
"20180401","일","여","20대","서울특별시","강남구","세곡동","중국집","5"
"20180401","일","남","10대","서울특별시","강남구","역삼동","중국집","5"
"20180401","일","여","30대","서울특별시","강남구","압구정동","중국집","5"
"20180401","일","남","50대","서울특별시","강남구","일원동","중국집","5"
"20180401","일","여","30대","서울특별시","강남구","역삼동","중국집","34"
"20180401","일","남","30대","서울특별시","강남구","일원동","중국집","5"
"20180401","일","남","40대","서울특별시","강남구","삼성동","중국집","71"
"20180401","일","여","30대","서울특별시","강남구","일원동","중국집","5"
"20180401","일","남","40대","서울특별시","강남구","개포동","중국집","11"
"20180401","일","여","40대","서울특별시","강남구","논현동","중국집","39"
"20180401","일","여","40대","서울특별시","강남구","대치동","중국집","5"
"20180401","일","여","40대","서울특별시","강남구","삼성동","중국집","109"
"20180401","일","남","50대","서울특별시","강남구","논현동","중국집","22"
"20180401","일","여","40대","서울특별시","강남구","세곡동","중국집","6"
"20180401","일","여","40대","서울특별시","강남구","수서동","중국집","5"
"20180401","일","남","10대","서울특별시","강남구","도곡동","중국집","5"
"20180401","일","여","40대","서울특별시","강남구","압구정동","중국집","5"
"20180401","일","여","30대","서울특별시","강남구","세곡동","중국집","9"
"20180401","일","남","40대","서울특별시","강남구","도곡동","중국집","8"
"20180401","일","남","20대","서울특별시","강남구","삼성동","중국집","34"
"20180401","일","여","30대","서울특별시","강남구","논현동","중국집","31"
"20180401","일","여","40대","서울특별시","강남구","역삼동","중국집","54"
"20180401","일","여","40대","서울특별시","강남구","일원동","중국집","5"
"20180401","일","남","10대","서울특별시","강남구","삼성동","중국집","7"
"20180401","일","여","50대","서울특별시","강남구","개포동","중국집","5"
"20180401","일","남","50대","서울특별시","강남구","세곡동","중국집","9"
"20180401","일","여","20대","서울특별시","강남구","도곡동","중국집","5"
"20180401","일","여","50대","서울특별시","강남구","논현동","중국집","22"
"20180401","일","여","50대","서울특별시","강남구","대치동","중국집","5"
"20180401","일","여","50대","서울특별시","강남구","삼성동","중국집","60"
"20180401","일","남","20대","서울특별시","강남구","대치동","중국집","5"
"20180401","일","여","50대","서울특별시","강남구","세곡동","중국집","5"
"20180401","일","남","10대","서울특별시","강남구","세곡동","중국집","5"
"20180401","일","여","50대","서울특별시","강남구","수서동","중국집","5"
"20180401","일","여","50대","서울특별시","강남구","압구정동","중국집","5"
"20180401","일","남","60대이상","서울특별시","강남구","수서동","중국집","5"
"20180401","일","여","50대","서울특별시","강남구","역삼동","중국집","10"
"20180401","일","여","60대이상","서울특별시","강남구","개포동","중국집","5"
"20180401","일","여","40대","서울특별시","강남구","도곡동","중국집","18"
"20180401","일","남","30대","서울특별시","강남구","삼성동","중국집","72"
"20180401","일","여","60대이상","서울특별시","강남구","논현동","중국집","13"
"20180401","일","남","30대","서울특별시","강남구","논현동","중국집","41"
"20180401","일","여","60대이상","서울특별시","강남구","도곡동","중국집","5"
"20180401","일","여","50대","서울특별시","강남구","도곡동","중국집","5"
"20180401","일","남","40대","서울특별시","강남구","논현동","중국집","40"
"20180401","일","남","20대","서울특별시","강남구","개포동","중국집","7"
"20180401","일","여","10대","서울특별시","강남구","압구정동","중국집","5"
"20180401","일","여","60대이상","서울특별시","강남구","삼성동","중국집","22"
"20180401","일","여","60대이상","서울특별시","강남구","세곡동","중국집","5"
"20180401","일","여","60대이상","서울특별시","강남구","수서동","중국집","5"
"20180401","일","여","20대","서울특별시","강남구","대치동","중국집","5"
"20180401","일","여","40대","서울특별시","강남구","개포동","중국집","11"
"20180401","일","남","50대","서울특별시","강남구","도곡동","중국집","5"
"20180401","일","여","60대이상","서울특별시","강남구","역삼동","중국집","7"
"20180401","일","여","60대이상","서울특별시","강남구","일원동","중국집","5"
"20180401","일","남","10대","서울특별시","강동구","길동","중국집","11"
"20180401","일","남","20대","서울특별시","강동구","명일동","중국집","5"
"20180401","일","남","30대","서울특별시","강동구","길동","중국집","90"
"20180401","일","남","30대","서울특별시","강동구","상일동","중국집","5"
"20180401","일","남","10대","서울특별시","강동구","명일동","중국집","5"
"20180401","일","남","20대","서울특별시","강동구","길동","중국집","41"
"20180401","일","남","30대","서울특별시","강동구","성내동","중국집","7"
"20180401","일","남","40대","서울특별시","강동구","명일동","중국집","5"
"20180401","일","남","20대","서울특별시","강동구","암사동","중국집","5"
"20180401","일","남","40대","서울특별시","강동구","성내동","중국집","9"
"20180401","일","남","50대","서울특별시","강동구","명일동","중국집","5"
"20180401","일","남","10대","서울특별시","강동구","암사동","중국집","5"
"20180401","일","남","50대","서울특별시","강동구","상일동","중국집","5"
"20180401","일","남","40대","서울특별시","강동구","길동","중국집","112"
"20180401","일","남","50대","서울특별시","강동구","성내동","중국집","6"
"20180401","일","남","50대","서울특별시","강동구","암사동","중국집","5"
"20180401","일","남","60대이상","서울특별시","강동구","명일동","중국집","5"
"20180401","일","남","60대이상","서울특별시","강동구","성내동","중국집","5"
"20180401","일","남","60대이상","서울특별시","강동구","천호동","중국집","5"
"20180401","일","남","40대","서울특별시","강동구","천호동","중국집","5"
"20180401","일","여","10대","서울특별시","강동구","길동","중국집","5"
"20180401","일","여","20대","서울특별시","강동구","천호동","중국집","5"
"20180401","일","남","60대이상","서울특별시","강동구","길동","중국집","33"
"20180401","일","여","30대","서울특별시","강동구","길동","중국집","87"
"20180401","일","여","10대","서울특별시","강동구","성내동","중국집","5"
"20180401","일","여","20대","서울특별시","강동구","길동","중국집","26"
"20180401","일","여","30대","서울특별시","강동구","명일동","중국집","5"
"20180401","일","남","30대","서울특별시","강동구","천호동","중국집","5"
"20180401","일","남","60대이상","서울특별시","강동구","암사동","중국집","5"
"20180401","일","남","20대","서울특별시","강동구","천호동","중국집","5"
"20180401","일","남","20대","서울특별시","강동구","성내동","중국집","5"
"20180401","일","여","30대","서울특별시","강동구","성내동","중국집","8"
"20180401","일","여","30대","서울특별시","강동구","암사동","중국집","5"
"20180401","일","남","30대","서울특별시","강동구","명일동","중국집","5"
"20180401","일","여","30대","서울특별시","강동구","천호동","중국집","6"
"20180401","일","여","40대","서울특별시","강동구","길동","중국집","123"
"20180401","일","여","40대","서울특별시","강동구","명일동","중국집","5"
"20180401","일","여","40대","서울특별시","강동구","둔촌동","중국집","5"
"20180401","일","남","40대","서울특별시","강동구","암사동","중국집","5"
"20180401","일","여","40대","서울특별시","강동구","성내동","중국집","10"
"20180401","일","여","40대","서울특별시","강동구","암사동","중국집","5"
"20180401","일","여","40대","서울특별시","강동구","천호동","중국집","5"
"20180401","일","남","10대","서울특별시","강동구","성내동","중국집","5"
"20180401","일","여","50대","서울특별시","강동구","길동","중국집","54"
"20180401","일","여","50대","서울특별시","강동구","성내동","중국집","5"
"20180401","일","여","60대이상","서울특별시","강동구","길동","중국집","36"
"20180401","일","남","50대","서울특별시","강동구","길동","중국집","46"
"20180401","일","여","60대이상","서울특별시","강동구","명일동","중국집","5"
"20180401","일","여","60대이상","서울특별시","강동구","성내동","중국집","5"
"20180401","일","여","20대","서울특별시","강동구","성내동","중국집","5"
"20180401","일","여","20대","서울특별시","강동구","명일동","중국집","5"
"20180401","일","여","60대이상","서울특별시","강동구","암사동","중국집","5"
"20180401","일","남","50대","서울특별시","강동구","천호동","중국집","5"
"20180401","일","여","60대이상","서울특별시","강동구","천호동","중국집","5"
"20180401","일","남","10대","서울특별시","강북구","미아동","중국집","7"
"20180401","일","남","10대","서울특별시","강북구","번동","중국집","5"
"20180401","일","남","20대","서울특별시","강북구","번동","중국집","12"
"20180401","일","남","30대","서울특별시","강북구","미아동","중국집","109"
"20180401","일","남","30대","서울특별시","강북구","번동","중국집","31"
"20180401","일","남","40대","서울특별시","강북구","미아동","중국집","100"
"20180401","일","남","40대","서울특별시","강북구","번동","중국집","25"
"20180401","일","남","40대","서울특별시","강북구","우이동","중국집","5"
"20180401","일","남","20대","서울특별시","강북구","우이동","중국집","5"
"20180401","일","남","50대","서울특별시","강북구","미아동","중국집","66"
"20180401","일","남","50대","서울특별시","강북구","번동","중국집","17"
"20180401","일","남","60대이상","서울특별시","강북구","우이동","중국집","5"
"20180401","일","여","10대","서울특별시","강북구","미아동","중국집","5"
"20180401","일","여","20대","서울특별시","강북구","미아동","중국집","31"
"20180401","일","여","20대","서울특별시","강북구","번동","중국집","5"
"20180401","일","남","50대","서울특별시","강북구","우이동","중국집","5"
"20180401","일","여","30대","서울특별시","강북구","미아동","중국집","70"
"20180401","일","여","30대","서울특별시","강북구","번동","중국집","18"
"20180401","일","여","30대","서울특별시","강북구","우이동","중국집","5"
"20180401","일","남","60대이상","서울특별시","강북구","미아동","중국집","31"
"20180401","일","여","40대","서울특별시","강북구","미아동","중국집","118"
"20180401","일","여","40대","서울특별시","강북구","번동","중국집","21"
"20180401","일","여","50대","서울특별시","강북구","미아동","중국집","75"
"20180401","일","남","60대이상","서울특별시","강북구","번동","중국집","11"
"20180401","일","남","20대","서울특별시","강북구","미아동","중국집","32"
"20180401","일","남","30대","서울특별시","강북구","우이동","중국집","5"
"20180401","일","여","50대","서울특별시","강북구","번동","중국집","15"
"20180401","일","여","10대","서울특별시","강북구","우이동","중국집","5"
"20180401","일","여","60대이상","서울특별시","강북구","미아동","중국집","43"
"20180401","일","여","60대이상","서울특별시","강북구","번동","중국집","15"
"20180401","일","여","60대이상","서울특별시","강북구","우이동","중국집","5"
"20180401","일","남","10대","서울특별시","강서구","등촌동","중국집","5"
"20180401","일","남","20대","서울특별시","강서구","가양동","중국집","13"
"20180401","일","남","20대","서울특별시","강서구","등촌동","중국집","19"
"20180401","일","남","30대","서울특별시","강서구","방화동","중국집","5"
"20180401","일","남","30대","서울특별시","강서구","화곡동","중국집","58"
"20180401","일","남","40대","서울특별시","강서구","가양동","중국집","34"
"20180401","일","남","40대","서울특별시","강서구","등촌동","중국집","35"
"20180401","일","남","40대","서울특별시","강서구","방화동","중국집","5"
"20180401","일","남","40대","서울특별시","강서구","내발산동","중국집","53"
"20180401","일","남","50대","서울특별시","강서구","가양동","중국집","31"
"20180401","일","남","50대","서울특별시","강서구","등촌동","중국집","15"
"20180401","일","남","30대","서울특별시","강서구","가양동","중국집","63"
"20180401","일","남","50대","서울특별시","강서구","방화동","중국집","5"
"20180401","일","남","50대","서울특별시","강서구","화곡동","중국집","42"
"20180401","일","남","60대이상","서울특별시","강서구","내발산동","중국집","21"
"20180401","일","남","60대이상","서울특별시","강서구","등촌동","중국집","13"
"20180401","일","남","60대이상","서울특별시","강서구","방화동","중국집","5"
"20180401","일","남","60대이상","서울특별시","강서구","화곡동","중국집","31"
"20180401","일","남","10대","서울특별시","강서구","마곡동","중국집","5"
"20180401","일","여","10대","서울특별시","강서구","등촌동","중국집","5"
"20180401","일","남","30대","서울특별시","강서구","마곡동","중국집","5"
"20180401","일","여","10대","서울특별시","강서구","화곡동","중국집","5"
"20180401","일","남","50대","서울특별시","강서구","내발산동","중국집","46"
"20180401","일","여","20대","서울특별시","강서구","가양동","중국집","12"
"20180401","일","여","20대","서울특별시","강서구","내발산동","중국집","6"
"20180401","일","여","10대","서울특별시","강서구","가양동","중국집","5"
"20180401","일","남","20대","서울특별시","강서구","내발산동","중국집","26"
