"일자","요일","성별","연령","발신지_시도","발신지_구","발신지_동","통화건수"
"20180701","일","남","10대","서울특별시","강남구","역삼동","5"
"20180701","일","여","20대","서울특별시","강남구","자곡동","5"
"20180701","일","여","20대","서울특별시","강남구","역삼동","12"
"20180701","일","남","40대","서울특별시","강남구","삼성동","27"
"20180701","일","남","40대","서울특별시","강남구","역삼동","9"
"20180701","일","여","40대","서울특별시","강남구","역삼동","22"
"20180701","일","여","40대","서울특별시","강남구","압구정동","5"
"20180701","일","여","40대","서울특별시","강남구","세곡동","5"
"20180701","일","여","40대","서울특별시","강남구","삼성동","39"
"20180701","일","여","40대","서울특별시","강남구","도곡동","5"
"20180701","일","여","40대","서울특별시","강남구","대치동","5"
"20180701","일","여","40대","서울특별시","강남구","논현동","12"
"20180701","일","여","40대","서울특별시","강남구","개포동","5"
"20180701","일","여","20대","서울특별시","강남구","압구정동","5"
"20180701","일","남","30대","서울특별시","강남구","개포동","5"
"20180701","일","남","30대","서울특별시","강남구","논현동","7"
"20180701","일","남","30대","서울특별시","강남구","도곡동","5"
"20180701","일","남","30대","서울특별시","강남구","삼성동","18"
"20180701","일","남","30대","서울특별시","강남구","세곡동","5"
"20180701","일","남","30대","서울특별시","강남구","수서동","5"
"20180701","일","남","30대","서울특별시","강남구","역삼동","23"
"20180701","일","여","60대이상","서울특별시","강남구","삼성동","5"
"20180701","일","여","60대이상","서울특별시","강남구","개포동","5"
"20180701","일","여","20대","서울특별시","강남구","삼성동","11"
"20180701","일","여","20대","서울특별시","강남구","대치동","5"
"20180701","일","여","20대","서울특별시","강남구","논현동","7"
"20180701","일","여","10대","서울특별시","강남구","대치동","5"
"20180701","일","남","10대","서울특별시","강남구","삼성동","7"
"20180701","일","남","20대","서울특별시","강남구","개포동","5"
"20180701","일","남","20대","서울특별시","강남구","논현동","5"
"20180701","일","남","20대","서울특별시","강남구","도곡동","5"
"20180701","일","남","20대","서울특별시","강남구","삼성동","17"
"20180701","일","남","20대","서울특별시","강남구","세곡동","5"
"20180701","일","남","20대","서울특별시","강남구","수서동","5"
"20180701","일","남","20대","서울특별시","강남구","역삼동","19"
"20180701","일","남","10대","서울특별시","강남구","도곡동","5"
"20180701","일","남","10대","서울특별시","강남구","논현동","5"
"20180701","일","여","30대","서울특별시","강남구","개포동","5"
"20180701","일","남","10대","서울특별시","강남구","세곡동","5"
"20180701","일","여","30대","서울특별시","강남구","논현동","11"
"20180701","일","남","60대이상","서울특별시","강남구","개포동","5"
"20180701","일","남","60대이상","서울특별시","강남구","삼성동","6"
"20180701","일","남","60대이상","서울특별시","강남구","역삼동","5"
"20180701","일","남","10대","서울특별시","강남구","개포동","5"
