"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20181101","목","남","30대","서울특별시","강남구","개포동","치킨","13"
"20181101","목","여","50대","서울특별시","강남구","삼성동","치킨","26"
"20181101","목","여","50대","서울특별시","강남구","수서동","치킨","5"
"20181101","목","남","50대","서울특별시","강남구","삼성동","치킨","13"
"20181101","목","남","50대","서울특별시","강남구","논현동","치킨","9"
"20181101","목","여","40대","서울특별시","강남구","삼성동","치킨","61"
"20181101","목","여","20대","서울특별시","강남구","일원동","치킨","5"
"20181101","목","여","20대","서울특별시","강남구","논현동","치킨","10"
"20181101","목","여","20대","서울특별시","강남구","삼성동","치킨","9"
"20181101","목","남","10대","서울특별시","강남구","대치동","치킨","5"
"20181101","목","남","10대","서울특별시","강남구","삼성동","치킨","10"
"20181101","목","남","40대","서울특별시","강남구","삼성동","치킨","22"
"20181101","목","남","40대","서울특별시","강남구","논현동","치킨","9"
"20181101","목","여","40대","서울특별시","강남구","세곡동","치킨","5"
"20181101","목","여","40대","서울특별시","강남구","역삼동","치킨","40"
"20181101","목","여","60대이상","서울특별시","강남구","역삼동","치킨","7"
"20181101","목","여","60대이상","서울특별시","강남구","수서동","치킨","5"
"20181101","목","여","60대이상","서울특별시","강남구","논현동","치킨","5"
"20181101","목","남","20대","서울특별시","강남구","논현동","치킨","8"
"20181101","목","남","20대","서울특별시","강남구","일원동","치킨","5"
"20181101","목","여","30대","서울특별시","강남구","일원동","치킨","5"
"20181101","목","남","60대이상","서울특별시","강남구","논현동","치킨","5"
"20181101","목","남","60대이상","서울특별시","강남구","삼성동","치킨","11"
"20181101","목","여","50대","서울특별시","강남구","개포동","치킨","9"
"20181101","목","여","30대","서울특별시","강남구","역삼동","치킨","30"
"20181101","목","여","30대","서울특별시","강남구","수서동","치킨","5"
"20181101","목","여","30대","서울특별시","강남구","대치동","치킨","5"
"20181101","목","여","30대","서울특별시","강남구","논현동","치킨","14"
"20181101","목","여","10대","서울특별시","강남구","개포동","치킨","5"
"20181101","목","여","10대","서울특별시","강남구","삼성동","치킨","5"
"20181101","목","여","40대","서울특별시","강남구","개포동","치킨","21"
"20181101","목","남","30대","서울특별시","강남구","압구정동","치킨","5"
"20181101","목","남","50대","서울특별시","강남구","역삼동","치킨","12"
"20181101","목","여","10대","서울특별시","강남구","일원동","치킨","5"
"20181101","목","남","30대","서울특별시","강남구","대치동","치킨","5"
"20181101","목","남","30대","서울특별시","강남구","수서동","치킨","5"
"20181101","목","남","30대","서울특별시","강남구","삼성동","치킨","27"
"20181101","목","남","30대","서울특별시","강남구","도곡동","치킨","5"
"20181101","목","남","30대","서울특별시","강남구","논현동","치킨","22"
"20181101","목","여","60대이상","서울특별시","강남구","일원동","치킨","5"
"20181101","목","여","60대이상","서울특별시","강남구","삼성동","치킨","11"
"20181101","목","여","60대이상","서울특별시","강남구","대치동","치킨","5"
"20181101","목","여","60대이상","서울특별시","강남구","개포동","치킨","7"
"20181101","목","남","10대","서울특별시","강남구","논현동","치킨","5"
"20181101","목","여","50대","서울특별시","강남구","일원동","치킨","5"
"20181101","목","남","10대","서울특별시","강남구","개포동","치킨","6"
"20181101","목","남","10대","서울특별시","강남구","역삼동","치킨","5"
"20181101","목","남","10대","서울특별시","강남구","세곡동","치킨","5"
"20181101","목","여","50대","서울특별시","강남구","역삼동","치킨","8"
"20181101","목","여","50대","서울특별시","강남구","도곡동","치킨","5"
"20181101","목","여","50대","서울특별시","강남구","논현동","치킨","7"
"20181101","목","여","40대","서울특별시","강남구","일원동","치킨","5"
"20181101","목","여","40대","서울특별시","강남구","압구정동","치킨","5"
"20181101","목","여","40대","서울특별시","강남구","수서동","치킨","5"
"20181101","목","여","40대","서울특별시","강남구","대치동","치킨","5"
"20181101","목","여","40대","서울특별시","강남구","논현동","치킨","28"
"20181101","목","여","30대","서울특별시","강남구","삼성동","치킨","22"
"20181101","목","여","30대","서울특별시","강남구","도곡동","치킨","5"
"20181101","목","여","30대","서울특별시","강남구","개포동","치킨","19"
"20181101","목","여","20대","서울특별시","강남구","역삼동","치킨","19"
"20181101","목","남","20대","서울특별시","강남구","개포동","치킨","8"
"20181101","목","남","20대","서울특별시","강남구","대치동","치킨","5"
